anon_id,claimed_tv_genre,claimed_book_escape_genre,claimed_book_default_genre,claimed_music_genre,top_behavioral_genre,behavioral_genres,media_type_signals,total_genre_signal_count
3b753d99-9b89-40ae-bec6-f9fe07aa38dd,,,,,,,,0
3b774852-d872-4221-b075-cbaef232a998,,,,,drama,drama (0.40),movie (1.00),1
3bfadd69-56a4-48f0-9990-68947315bcad,,,,,,,,0
3c0522e0-953a-41a4-980c-d2320677b31b,,,,,drama,drama (0.50); sci-fi & fantasy (0.17); comedy (0.17); crime (0.17); action & adventure (0.17),tv (1.00),5
3c7da7e4-4da9-4798-818a-f21d7fffb7be,,,,,drama,drama (0.80); sci-fi & fantasy (0.40); mystery (0.40); romance (0.40),book (1.00); movie (0.40); tv (0.40),4
3dda5530-8fe5-41cd-b945-2223fe75db4b,,,,,,,,0
3e181762-f144-4007-9038-5c533b48ee5f,,,,,,,,0
3e36f8ce-84c4-44c7-808c-d187f9f634aa,,,,,,,,0
3e9f5ca0-4ece-4bd4-9d63-a67aa7e640bc,,,,,,,,0
41663aca-5dd3-4bf8-a1d2-04e94e8c02b6,,,,,,,movie (0.90),0
41849796-014e-414c-ad4f-7fe99bdc69f8,,,,Indie,comedy,comedy (0.12); drama (0.10); crime (0.06); self-help (0.04); thrillers (0.04); humorous (0.03); reality (0.03); thriller (0.02); romance (0.02); mystery (0.02); psychological (0.02); suspense (0.02); literary (0.02); satire (0.02); dark humor (0.02),tv (1.00); movie (0.60); book (0.45); music (0.17); podcast (0.13); mixed (0.07),35
4741e6ea-ab79-4f94-89be-ecf87051ad5e,,,,,,,mixed (1.00),0
47989cff-afcb-4625-975b-9128b8ed625a,,,,,,,,0
4cfa5e17-e21e-49d2-848a-27bc28c30086,,,,,comedy,comedy (0.75); thrillers (0.38); thriller (0.25); science fiction (0.13); family (0.13); mystery (0.13); sci-fi & fantasy (0.13); reality (0.13); animation (0.13); true crime (0.13); domestic (0.13); suspense (0.13); psychological (0.13); crime (0.13),tv (1.00); movie (0.36); book (0.36); podcast (0.13),14
4d69c1b4-5495-4159-9472-eabbe8a89cb0,,,,,,,,0
50104dd0-6671-417c-be6b-7eedae7572e0,,,,,,,,0
50e7aa23-200a-43a3-82d0-c0296f450e46,,,,,historical,historical (0.29); fantasy (0.23); romance (0.17); epic (0.06); paranormal (0.06),book (1.00),5
5344d6a2-9698-4663-9f4d-20b20283fec7,,,,,,,,0
559b0c1b-b399-45db-ad31-21d75d4cb58a,,,,,,,movie (1.00); tv (0.16); music (0.06),0
561f2c21-69e9-4282-bceb-51146a405ea3,,,,,drama,drama (0.63); comedy (0.16); mystery (0.16); reality (0.11); biography & autobiography (0.11); thriller (0.11); romance (0.11); family (0.05); european (0.05); science fiction (0.05); memoirs (0.05); business (0.05); sports & recreation (0.05); running & jogging (0.05); fantasy (0.05),tv (1.00); movie (0.55); book (0.34); podcast (0.05); music (0.05),18
56bae5f8-0f4b-4eb5-a0ac-677227b4f8c5,,,,,action,action (0.15); drama (0.15); comedy (0.15); romance (0.15); true crime (0.15); society & culture (0.15); personal journals (0.15),book (1.00); movie (0.45); podcast (0.15),7
58becf56-a234-48d0-8abe-24c61e3ec76d,,,,,,,,0
59888511-dfc4-47d9-a0bc-a923657d59b2,,,,,,,movie (0.90),0
